state,month,WSF5,PRCP
AB,1,,0.21259854
AB,2,,0.33070884
AB,3,,0.29921276
AB,4,,0.60629954
AB,5,,1.75590646
AB,6,,0.51968532
AB,7,,1.64173317
AB,8,,0.7480319
AB,9,,0.95275642
AK,1,76.05596,2.90157637
AK,2,65.98973,3.51968694
AK,3,67.1082,2.29921384
AK,4,59.055216,2.03937118
AK,5,61.068462,3.25197026
AK,6,53.015478,2.50000135
AK,7,55.9235,2.42126115
AK,8,61.963238,8.29921708
AK,9,78.069206,11.50000621
AL,1,74.93749,5.83858583
AL,2,50.107456,1.98819005
AL,3,55.9235,1.64960719
AL,4,48.988986,3.83858475
AL,5,65.094954,8.1496107
AL,6,55.9235,4.12992349
AL,7,63.081708,3.64173425
AL,8,46.080964,5.72834955
AL,9,55.028724,3.20078913
AR,1,53.015478,2.18897756
AR,2,52.120702,1.92126088
AR,3,68.002976,1.94094593
AR,4,68.002976,5.24016031
AR,5,61.963238,2.90157637
AR,6,55.028724,3.27165531
AR,7,46.080964,2.66929278
AR,8,44.962494,2.77952906
AR,9,44.067718,1.50000081
AZ,1,57.936746,2.50000135
AZ,2,65.98973,2.00000108
AZ,3,65.98973,1.20078805
AZ,4,65.094954,0.59842552
AZ,5,80.977228,0.90157529
AZ,6,72.029468,0.59842552
AZ,7,72.029468,1.79133955
AZ,8,78.069206,1.90157583
AZ,9,57.936746,0.72834685
BC,1,,2.65354474
BC,2,,1.75590646
BC,3,,1.40551257
BC,4,,1.16535496
BC,5,,1.58661503
BC,6,,0.73622087
BC,7,,0.4724412
BC,8,,0.72440984
BC,9,,1.50393782
CA,1,74.042714,8.79921735
CA,2,70.910998,5.90157799
CA,3,70.910998,3.50000189
CA,4,125.044946,3.37008056
CA,5,63.976484,1.50000081
CA,6,59.949992,1.20078805
CA,7,51.002232,1.09842579
CA,8,57.936746,1.79921357
CA,9,63.081708,1.40157556
CO,1,80.082452,2.70078886
CO,2,59.055216,2.29921384
CO,3,74.93749,2.25196972
CO,4,70.016222,1.40157556
CO,5,72.029468,2.79921411
CO,6,70.910998,1.51181184
CO,7,61.963238,2.00000108
CO,8,63.081708,2.03149716
CO,9,59.949992,1.09842579
CT,1,61.068462,0.88976426
CT,2,59.949992,0.94881941
CT,3,55.028724,1.53937091
CT,4,46.97574,1.98819005
CT,5,53.910254,1.88189078
CT,6,36.014734,1.51181184
CT,7,48.988986,1.72834739
CT,8,97.977972,1.55905596
CT,9,44.067718,1.55118194
DE,1,53.015478,0.64960665
DE,2,53.015478,0.51968532
DE,3,50.107456,2.44882022
DE,4,50.107456,1.22834712
DE,5,42.054472,1.88189078
DE,6,48.988986,1.29133928
DE,7,44.067718,2.29921384
DE,8,44.067718,1.8110246
DE,9,35.119958,0.61811057
FL,1,61.068462,4.83858529
FL,2,59.055216,2.98819059
FL,3,53.910254,2.11023736
FL,4,57.04197,3.75984455
FL,5,70.910998,3.7007894
FL,6,57.936746,5.64173533
FL,7,57.936746,5.48819194
FL,8,61.068462,8.11811462
FL,9,91.043458,13.07874722
GA,1,74.042714,4.59055366
GA,2,53.015478,2.07874128
GA,3,55.9235,2.05118221
GA,4,51.002232,4.27165585
GA,5,53.015478,6.61023979
GA,6,57.936746,4.85827034
GA,7,63.976484,2.4409462
GA,8,50.107456,3.14173398
GA,9,63.976484,6.25197188
GU,1,35.119958,1.51968586
GU,2,38.922756,1.59842606
GU,3,35.119958,1.12992187
GU,4,38.922756,2.5196864
GU,5,31.988242,0.53149635
GU,6,33.106712,1.98819005
GU,7,31.988242,3.37008056
GU,8,33.106712,1.20866207
GU,9,31.988242,3.64960827
HI,1,48.988986,9.18898134
HI,2,50.107456,5.03149878
HI,3,44.067718,2.42913517
HI,4,42.054472,3.79134063
HI,5,42.054472,2.24015869
HI,6,42.054472,0.68897675
HI,7,40.936002,1.98031603
HI,8,40.936002,1.79921357
HI,9,38.922756,0.98031549
IA,1,53.015478,1.05118167
IA,2,48.988986,0.98818951
IA,3,76.950736,1.48031576
IA,4,59.055216,2.25196972
IA,5,70.016222,2.01181211
IA,6,74.93749,2.09055231
IA,7,74.93749,2.61811165
IA,8,52.120702,2.42126115
IA,9,52.120702,1.55118194
ID,1,55.028724,3.44882076
ID,2,70.910998,3.51181292
ID,3,55.028724,3.00000162
ID,4,55.9235,2.00000108
ID,5,63.081708,1.50000081
ID,6,61.068462,1.79921357
ID,7,51.002232,1.05905569
ID,8,70.016222,2.5984266
ID,9,42.949248,2.4015761
IL,1,57.936746,1.11811084
IL,2,52.120702,1.48818978
IL,3,70.016222,2.00000108
IL,4,86.12219,4.77165612
IL,5,63.976484,2.90157637
IL,6,55.9235,4.11023844
IL,7,70.910998,3.22047418
IL,8,67.1082,2.11811138
IL,9,40.041226,1.05118167
IN,1,61.963238,1.31889835
IN,2,53.015478,1.77952852
IN,3,61.963238,1.35039443
IN,4,55.028724,2.83071019
IN,5,57.04197,2.53149743
IN,6,52.120702,3.66929332
IN,7,61.068462,3.7795296
IN,8,53.910254,2.05905623
IN,9,50.107456,0.98818951
KS,1,53.015478,1.98031603
KS,2,55.9235,1.2598432
KS,3,68.002976,2.07874128
KS,4,65.094954,3.7401595
KS,5,76.05596,3.85039578
KS,6,76.950736,2.53149743
KS,7,63.081708,4.29921492
KS,8,68.002976,3.83071073
KS,9,57.936746,4.57086861
KY,1,48.09421,1.2204731
KY,2,46.97574,1.57086699
KY,3,76.05596,1.94094593
KY,4,53.015478,2.77165504
KY,5,44.962494,1.8503947
KY,6,51.002232,3.16141903
KY,7,46.97574,1.96063098
KY,8,46.97574,2.5590565
KY,9,42.054472,4.92913652
LA,1,53.910254,4.90157745
LA,2,55.028724,1.72834739
LA,3,59.949992,2.61023763
LA,4,59.055216,10.42126547
LA,5,51.002232,6.40945228
LA,6,52.120702,4.00000216
LA,7,53.910254,3.50000189
LA,8,55.9235,6.87008245
LA,9,42.054472,1.24015815
MA,1,57.936746,2.37008002
MA,2,119.005208,1.2598432
MA,3,63.976484,2.27952879
MA,4,59.055216,2.98819059
MA,5,50.107456,1.72834739
MA,6,51.002232,2.33070992
MA,7,44.962494,3.09842687
MA,8,44.067718,4.29921492
MA,9,65.094954,2.74015896
MB,1,,0.1181103
MB,2,,0.1574804
MB,3,,0.92913436
MB,4,,0.33070884
MB,5,,0.29921276
MB,6,,0.8267721
MB,7,,0.77165396
MB,8,,0.75590592
MB,9,,0.69291376
MD,1,53.910254,0.98818951
MD,2,59.949992,0.75196891
MD,3,55.028724,2.92126142
MD,4,57.936746,1.44881968
MD,5,46.97574,2.20866261
MD,6,63.081708,1.22834712
MD,7,48.09421,3.83858475
MD,8,44.962494,6.55905866
MD,9,63.081708,1.81889862
ME,1,52.120702,1.968505
ME,2,53.015478,1.46063071
ME,3,61.068462,2.11811138
ME,4,46.97574,1.83070965
ME,5,55.028724,2.01181211
ME,6,53.015478,1.9291349
ME,7,46.080964,1.07874074
ME,8,42.054472,1.90944985
ME,9,44.067718,2.74015896
MI,1,57.936746,0.98031549
MI,2,53.910254,1.74015842
MI,3,68.002976,1.968505
MI,4,70.910998,1.44881968
MI,5,52.120702,1.66141822
MI,6,53.910254,3.00000162
MI,7,61.963238,2.37008002
MI,8,180.07367,3.01968667
MI,9,46.97574,0.98818951
MN,1,50.107456,0.46850419
MN,2,55.028724,0.92913436
MN,3,76.950736,0.92126034
MN,4,65.98973,1.44094566
MN,5,65.98973,2.27165477
MN,6,69.121446,2.77165504
MN,7,70.016222,2.38189105
MN,8,57.936746,7.83858691
MN,9,50.107456,1.44094566
MO,1,55.9235,1.79921357
MO,2,50.107456,1.31102433
MO,3,67.1082,1.77952852
MO,4,57.936746,6.94094863
MO,5,70.016222,3.05118275
MO,6,170.00744,4.94882157
MO,7,72.029468,3.64173425
MO,8,104.01771,4.330711
MO,9,48.988986,1.57874101
MP,1,38.02798,1.16929197
MP,2,38.02798,3.0314977
MP,3,36.014734,0.75984293
MP,4,31.093466,1.51181184
MP,5,31.988242,0.37007894
MP,6,44.962494,1.1417329
MP,7,40.041226,1.68897729
MP,8,44.067718,1.22834712
MP,9,42.054472,0.90944931
MS,1,53.015478,5.46063287
MS,2,40.041226,2.01968613
MS,3,57.936746,2.01181211
MS,4,70.910998,5.38189267
MS,5,50.107456,2.18110354
MS,6,53.910254,6.77953122
MS,7,51.002232,2.35039497
MS,8,59.949992,4.16141957
MS,9,38.02798,1.68110327
MT,1,57.936746,1.50000081
MT,2,65.094954,2.5984266
MT,3,61.963238,2.90157637
MT,4,67.1082,2.00000108
MT,5,59.949992,3.29921438
MT,6,59.055216,2.79921411
MT,7,72.029468,0.70078778
MT,8,65.094954,1.20078805
MT,9,52.120702,2.29921384
NB,1,,1.4173236
NB,2,,1.38582752
NB,3,,0.86220519
NB,4,,0.85039416
NB,5,,2.20078859
NB,6,,1.66929224
NB,7,,0.5905515
NB,8,,0.97637848
NB,9,,2.55118248
NC,1,46.080964,1.51968586
NC,2,51.002232,0.83858313
NC,3,55.9235,1.72047337
NC,4,53.015478,4.51181346
NC,5,53.015478,2.38976507
NC,6,53.015478,6.61811381
NC,7,55.028724,3.72834847
NC,8,65.094954,3.20866315
NC,9,50.107456,2.79134009
ND,1,55.9235,0.59842552
ND,2,48.988986,0.31889781
ND,3,67.1082,0.46063017
ND,4,48.09421,0.61023655
ND,5,61.068462,0.61023655
ND,6,70.016222,3.20866315
ND,7,61.963238,1.35039443
ND,8,50.107456,2.53149743
ND,9,48.09421,1.96063098
NE,1,51.002232,0.96850446
NE,2,53.910254,0.96850446
NE,3,70.016222,2.00000108
NE,4,57.936746,1.83070965
NE,5,74.042714,1.98031603
NE,6,87.911742,3.72047445
NE,7,78.069206,2.83071019
NE,8,76.05596,2.62992268
NE,9,44.067718,1.05118167
NH,1,42.949248,0.88189024
NH,2,51.002232,0.79921303
NH,3,50.107456,1.55905596
NH,4,46.97574,1.05905569
NH,5,48.09421,1.61811111
NH,6,36.90951,1.98031603
NH,7,44.962494,2.4409462
NH,8,38.02798,1.94094593
NH,9,38.02798,2.38976507
NJ,1,61.068462,1.8897648
NJ,2,53.910254,1.16141795
NJ,3,57.936746,3.20078913
NJ,4,51.002232,2.27952879
NJ,5,53.910254,3.25197026
NJ,6,63.081708,1.94094593
NJ,7,57.936746,5.40945174
NJ,8,40.041226,3.53149797
NJ,9,38.922756,1.96063098
NL,1,,1.58267802
NL,2,,1.1023628
NL,3,,1.4566937
NL,4,,1.6141741
NL,5,,0.80315004
NL,6,,1.28346526
NL,7,,1.03149662
NL,8,,1.20472506
NL,9,,2.66141876
NM,1,74.93749,1.90157583
NM,2,69.121446,2.50000135
NM,3,72.924244,1.79921357
NM,4,65.98973,1.2992133
NM,5,63.976484,2.70078886
NM,6,59.949992,1.00000054
NM,7,68.002976,1.57874101
NM,8,57.936746,2.70078886
NM,9,59.949992,0.59842552
NS,1,,1.43307164
NS,2,,2.2047256
NS,3,,1.20472506
NS,4,,1.07480373
NS,5,,1.07874074
NS,6,,1.80315058
NS,7,,1.4566937
NS,8,,1.60630008
NS,9,,1.64567018
NT,1,,0.52755934
NT,2,,0.12598432
NT,3,,0.1968505
NT,4,,0.1968505
NT,5,,0.42519708
NT,6,,0.20472452
NT,7,,0.45669316
NT,8,,1.12598486
NT,9,,0.17322844
NV,1,63.081708,6.59842876
NV,2,72.029468,4.20078967
NV,3,70.910998,2.20078859
NV,4,61.963238,1.59842606
NV,5,57.936746,1.70078832
NV,6,61.963238,2.70078886
NV,7,59.055216,2.70078886
NV,8,53.015478,4.59842768
NV,9,68.002976,9.09843011
NY,1,63.976484,1.57874101
NY,2,72.924244,1.2992133
NY,3,80.977228,3.25197026
NY,4,55.9235,1.94881995
NY,5,67.1082,3.01968667
NY,6,63.976484,3.27952933
NY,7,46.080964,3.29921438
NY,8,53.015478,2.11811138
NY,9,59.055216,1.8897648
OH,1,68.002976,2.11023736
OH,2,104.912486,1.61023709
OH,3,70.016222,2.5196864
OH,4,63.081708,2.31102487
OH,5,67.1082,1.98031603
OH,6,72.924244,3.33071046
OH,7,61.068462,3.38976561
OH,8,53.015478,1.46063071
OH,9,61.963238,1.44094566
OK,1,52.120702,1.66929224
OK,2,63.081708,1.72047337
OK,3,61.963238,4.94094755
OK,4,76.950736,4.18897864
OK,5,72.029468,2.75196999
OK,6,57.936746,3.38976561
OK,7,67.1082,3.16929305
OK,8,65.094954,4.20866369
OK,9,51.002232,1.75196945
ON,1,,0.7480319
ON,2,,0.84252014
ON,3,,1.08661476
ON,4,,1.99212706
ON,5,,2.06299324
ON,6,,1.57874101
ON,7,,3.27952933
ON,8,,2.10236334
ON,9,,1.25196918
OR,1,61.068462,3.00000162
OR,2,67.1082,3.7007894
OR,3,53.910254,2.90157637
OR,4,67.1082,2.4015761
OR,5,53.910254,2.79921411
OR,6,140.032444,2.09842633
OR,7,46.080964,0.98031549
OR,8,57.936746,0.70078778
OR,9,44.962494,2.70078886
PA,1,68.002976,1.92126088
PA,2,61.068462,1.44094566
PA,3,63.976484,2.42913517
PA,4,52.120702,1.83858367
PA,5,70.910998,2.29133982
PA,6,55.028724,3.57874209
PA,7,65.094954,4.70866396
PA,8,53.015478,2.90157637
PA,9,55.9235,2.57874155
PE,1,,1.4173236
PE,2,,1.2204731
PE,3,,0.58267748
PE,4,,0.48031522
PE,5,,1.17322898
PE,6,,1.36220546
PE,7,,1.77952852
PE,8,,1.22834712
PE,9,,0.46456718
PR,1,38.02798,0.46063017
PR,2,35.119958,0.40157502
PR,3,48.09421,1.72047337
PR,4,33.106712,2.53937145
PR,5,29.974996,1.64173317
PR,6,36.014734,1.16141795
PR,7,35.119958,1.59055204
PR,8,38.02798,2.64173371
PR,9,70.016222,3.7795296
QC,1,,0.70078778
QC,2,,0.4330711
QC,3,,1.19685104
QC,4,,0.46456718
QC,5,,0.787402
QC,6,,0.75590592
QC,7,,0.48818924
QC,8,,0.9842525
QC,9,,0.56692944
RI,1,48.988986,1.37007948
RI,2,53.910254,1.03937064
RI,3,51.002232,1.59842606
RI,4,46.080964,1.90157583
RI,5,42.949248,2.29133982
RI,6,35.119958,2.20866261
RI,7,31.988242,1.03937064
RI,8,31.093466,1.09055177
RI,9,36.014734,1.59055204
SC,1,46.080964,2.61023763
SC,2,61.963238,1.16929197
SC,3,57.936746,3.90157691
SC,4,70.016222,3.22047418
SC,5,59.949992,3.64173425
SC,6,53.910254,3.25197026
SC,7,57.04197,3.50000189
SC,8,55.9235,3.72834847
SC,9,61.068462,6.2598459
SD,1,55.9235,1.35826845
SD,2,140.92722,0.33070884
SD,3,68.002976,1.24015815
SD,4,53.910254,1.38189051
SD,5,61.963238,1.2992133
SD,6,74.93749,2.98031657
SD,7,82.990474,3.7795296
SD,8,99.096442,3.42913571
SD,9,55.9235,1.85826872
TN,1,48.09421,1.46850473
TN,2,53.015478,2.51181238
TN,3,61.963238,2.03937118
TN,4,59.055216,2.66929278
TN,5,65.094954,2.01181211
TN,6,46.97574,3.18110408
TN,7,50.107456,2.27165477
TN,8,59.949992,4.03937226
TN,9,48.988986,3.25197026
TX,1,69.121446,4.88976642
TX,2,63.081708,2.81102514
TX,3,69.121446,4.79134117
TX,4,59.949992,5.07086888
TX,5,70.016222,4.07874236
TX,6,78.069206,4.53149851
TX,7,68.002976,2.70866288
TX,8,82.990474,26.03151012
TX,9,55.028724,1.64960719
UT,1,55.028724,5.70079048
UT,2,53.015478,2.5984266
UT,3,70.016222,3.20078913
UT,4,65.094954,3.00000162
UT,5,57.936746,1.59842606
UT,6,61.068462,2.50000135
UT,7,53.910254,1.90157583
UT,8,65.98973,2.50000135
UT,9,65.094954,1.79921357
VA,1,52.120702,1.87007975
VA,2,65.98973,0.55905542
VA,3,78.069206,2.22834766
VA,4,59.949992,1.94094593
VA,5,51.002232,2.5196864
VA,6,61.963238,3.18110408
VA,7,55.9235,4.35039605
VA,8,61.068462,3.92913598
VA,9,42.054472,2.66929278
VI,1,48.988986,0.29921276
VI,2,46.080964,0.46063017
VI,3,44.962494,3.68897837
VI,4,33.106712,2.40945012
VI,5,42.054472,1.44094566
VI,6,36.90951,1.11023682
VI,7,35.119958,2.16929251
VI,8,38.02798,1.64173317
VI,9,57.936746,1.70866234
VT,1,65.094954,1.40944958
VT,2,59.055216,0.88976426
VT,3,48.988986,1.07874074
VT,4,46.97574,0.98818951
VT,5,52.120702,1.2598432
VT,6,38.922756,1.79133955
VT,7,40.936002,3.46850581
VT,8,46.97574,1.42126061
VT,9,38.922756,1.44881968
WA,1,57.936746,6.40157826
WA,2,61.068462,5.79921573
WA,3,51.002232,4.46063233
WA,4,65.094954,3.50000189
WA,5,59.055216,2.09842633
WA,6,55.028724,4.20078967
WA,7,57.936746,0.40157502
WA,8,44.067718,1.20078805
WA,9,40.041226,2.90157637
WI,1,57.936746,0.83858313
WI,2,51.002232,1.07086672
WI,3,65.094954,1.61811111
WI,4,65.094954,2.07086726
WI,5,65.98973,2.38976507
WI,6,55.028724,3.25984428
WI,7,63.976484,3.38976561
WI,8,59.949992,2.5984266
WI,9,40.936002,0.90944931
WV,1,53.910254,1.55118194
WV,2,55.028724,1.18897702
WV,3,61.068462,1.44881968
WV,4,48.988986,1.27952825
WV,5,52.120702,2.01181211
WV,6,57.936746,3.03937172
WV,7,52.120702,2.18110354
WV,8,53.910254,1.81889862
WV,9,65.98973,1.44094566
WY,1,72.029468,2.50000135
WY,2,76.05596,2.50000135
WY,3,72.029468,3.40157664
WY,4,63.976484,2.4015761
WY,5,69.121446,3.50000189
WY,6,89.924988,1.59842606
WY,7,65.094954,1.70078832
WY,8,55.9235,1.09842579
WY,9,55.9235,2.50000135
